Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
42,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646226,9.99154807,1.278519149,299.866797,23.48443237,87.83125,35.64705882,65.59183673,9.99154807,6.345749581,0.008705888,1,0,0,0,0
43,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646224,9.991560362,1.278524243,300.0369816,23.483771,87.8375,35.58823529,65.65306122,9.991560362,6.944416825,0.008898789,1,0,0,0,0
44,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646221,9.991571943,1.278524243,300.1650401,23.4831479,87.85,35.54901961,65.69387755,9.991571943,7.698693324,0.009112641,1,0,0,0,0
45,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664622,9.991582855,1.278524243,300.3591773,23.48256084,87.8625,35.46078431,65.75510204,9.991582855,6.515569665,0.009293629,1,0,0,0,0
46,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646218,9.991593135,1.278524243,300.5444991,23.48200774,87.875,35.39215686,65.79591837,9.991593135,6.673419075,0.009479002,1,0,0,0,0
47,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646217,9.99160282,1.278524243,300.61757,23.48148664,87.88125,35.3627451,65.85714286,9.99160282,8.68327339,0.009720204,1,0,0,0,0
48,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646215,9.991611946,1.278524243,300.8045752,23.48099569,87.89375,35.26470588,65.89795918,9.991611946,6.643296725,0.00990474,1,0,0,0,0
49,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646214,9.991620543,1.278524243,300.8974076,23.48053314,87.90625,35.23529412,65.93877551,9.991620543,8.329462817,0.010136114,1,0,0,0,0
50,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646214,9.991628643,1.278524243,301.0766687,23.48009734,87.9125,35.1372549,66,9.991628643,6.781970999,0.010324502,1,0,0,0,0
51,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646213,9.991636274,1.278528966,301.1741989,23.47968676,87.925,35.07843137,66.04081633,9.991636274,8.245364763,0.01055354,1,0,0,0,0
