Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
44,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991732237,1.326644702,305.1435525,19.40402192,88.1875,32.53921569,61.6122449,9.991732237,7.49650462,0.008834115,1,0,0,0,0
45,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991733876,1.326644702,305.3091178,19.40390495,88.2,32.41176471,61.55102041,9.991733876,7.027298587,0.009029318,1,0,0,0,0
46,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991735419,1.326644702,305.4483036,19.40379475,88.2125,32.25490196,61.48979592,9.991735419,7.49962326,0.009237641,1,0,0,0,0
47,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991736874,1.326644702,305.6976844,19.40369092,88.21875,32.06862745,61.42857143,9.991736874,5.526590833,0.009391157,1,0,0,0,0
48,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991738244,1.326487188,305.8613835,19.4035931,88.23125,31.92156863,61.36734694,9.991738244,7.060717138,0.009587288,1,0,0,0,0
49,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991739535,1.326449198,305.9102457,19.40350094,88.24375,31.84313725,61.30612245,9.991739535,9.116865211,0.009840534,1,0,0,0,0
50,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991740751,1.326374298,306.2226015,19.40341411,88.25,31.56862745,61.24489796,9.991740751,4.399031674,0.00996273,1,0,0,0,0
51,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991741897,1.326374298,306.2986392,19.4033323,88.2625,31.49019608,61.18367347,9.991741897,8.630292118,0.01020246,1,0,0,0,0
52,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991742976,1.326374298,306.5894006,19.40325523,88.275,31.24509804,61.12244898,9.991742976,4.785680143,0.010335395,1,0,0,0,0
53,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991743993,1.326374298,306.6866853,19.40318261,88.2875,31.11764706,61.06122449,9.991743993,8.249868143,0.010564558,1,0,0,0,0
54,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991744952,1.326374298,306.7382184,19.4031142,88.29375,31.01960784,61,9.991744952,9.069048347,0.010816476,1,0,0,0,0
55,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991745854,1.326374298,306.9565645,19.40304974,88.30625,30.79411765,60.93877551,9.991745854,6.082273978,0.010985428,1,0,0,0,0
56,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991746705,1.326374298,307.1332887,19.40298902,88.31875,30.61764706,60.89795918,9.991746705,6.827512081,0.011175082,1,0,0,0,0
57,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991747506,1.326374298,307.3995579,19.4029318,88.325,30.38235294,60.83673469,9.991747506,5.224215827,0.011320199,1,0,0,0,0
58,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991748261,1.326374298,307.65285,19.4028779,88.3375,30.16666667,60.7755102,9.991748261,5.456570663,0.01147177,1,0,0,0,0
59,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991748973,1.326250269,307.8613326,19.40282711,88.35,30,60.73469388,9.991748973,6.258882385,0.011645628,1,0,0,0,0
60,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52795855,9.991749643,1.32619262,307.9603215,19.40277926,88.3625,29.83333333,60.67346939,9.991749643,8.219360209,0.011873944,1,0,0,0,0
61,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.529489615,9.994095762,1.32619262,308.2405121,19.43423418,88.4375,29.57843137,60.6122449,9.994095762,4.977302375,0.012012202,1,0,0,0,0
62,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.529963516,9.994487271,1.32619262,308.4904541,19.43944171,88.45,29.34313725,60.55102041,9.994487271,5.519292983,0.012165516,1,0,0,0,0
63,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.5305164,9.994943899,1.326181132,308.6077894,19.44552669,88.46875,29.21568627,60.48979592,9.994943899,7.894063437,0.012384795,1,0,0,0,0
64,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.531161432,9.995476505,1.326181132,308.7773874,19.45263483,88.48125,28.99019608,60.42857143,9.995476505,6.958836001,0.012578096,1,0,0,0,0
65,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.531695246,9.996097761,1.326181132,308.9615338,19.46093611,88.49375,28.78431373,60.3877551,9.996097761,6.698969157,0.012764179,1,0,0,0,0
66,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.532062851,9.996822447,1.326181132,309.2508389,19.47062892,88.50625,28.5,60.32653061,9.996822447,4.816834565,0.01289798,1,0,0,0,0
67,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.53241274,9.997276894,1.326181132,309.3918422,19.47669471,88.525,28.34313725,60.26530612,9.997276894,7.472622523,0.013105552,1,0,0,0,0
68,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.532728797,9.997741831,1.326176052,309.6103579,19.48290354,88.5375,28.08823529,60.20408163,9.997741831,6.085233279,0.013274587,1,0,0,0,0
69,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.532990025,9.998208154,1.326176052,309.8117624,19.48913302,88.55,27.85294118,60.14285714,9.998208154,6.392074459,0.013452144,1,0,0,0,0
70,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.533205821,9.998663428,1.326176052,309.8816084,19.49521605,88.5625,27.71568627,60.08163265,9.998663428,8.748075611,0.013695146,1,0,0,0,0
71,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.533396316,9.99909104,1.326176052,310.0324426,19.50092937,88.58125,27.47058824,60.02040816,9.99909104,7.298415082,0.01389788,1,0,0,0,0
72,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.533560245,9.999469138,1.326176052,310.094787,19.50597945,88.59375,27.32352941,59.95918367,9.999469138,8.883196952,0.014144636,1,0,0,0,0
73,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.53369882,9.999834512,1.326176052,310.1614488,19.51086024,88.60625,27.11764706,59.91836735,9.999834512,8.806259576,0.014389254,1,0,0,0,0
74,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.533816953,10.00018329,1.326176052,310.2562151,19.51551969,88.61875,26.93137255,59.85714286,10.00018329,8.303399218,0.014619904,1,0,0,0,0
75,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.533918808,10.00051248,1.326176052,310.2562151,19.51991747,88.6375,26.78431373,59.79591837,10.00051248,10.00051248,0.014897696,1,0,0,0,0
76,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.53400589,10.00082066,1.326176052,310.2562151,19.52403437,88.65,26.62745098,59.73469388,10.00082066,10.00082066,0.015175497,1,0,0,0,0
77,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.534080164,10.00110893,1.326175657,310.2562151,19.5278852,88.6625,26.47058824,59.67346939,10.00110893,10.00110893,0.015453305,1,0,0,0,0
